
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=69.41845536,alpha=12.01191115,gamma=0.33918452,n=150
MLE,mu=68.83871641,alpha=9.04169411,gamma=0.53098219,n=150
PWM,mu=69.86086618,alpha=11.24666168,gamma=0.31254253,n=150
L-moments,mu=69.41278422,alpha=10.05374700,gamma=0.38510987,n=150

gev-mu=70,alpha=10,gamma=0.5,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.92000497,alpha=12.07093752,gamma=0.32617844,n=200
MLE,mu=69.28030638,alpha=9.28327710,gamma=0.51760001,n=200
PWM,mu=70.24266211,alpha=11.24313607,gamma=0.31527224,n=200
L-moments,mu=69.90140436,alpha=10.34613560,gamma=0.36980711,n=200

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.12185973,alpha=10.81394660,gamma=0.86105032,n=10
MLE,mu=62.34485693,alpha=0.56621571,gamma=5.01144817,n=10
PWM,mu=84.80101793,alpha=23.09231011,gamma=-0.97637439,n=10
L-moments,mu=70.50272664,alpha=11.51513601,gamma=0.41412926,n=10

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.36945811,alpha=16.06049429,gamma=0.65833316,n=15
MLE,mu=68.27005843,alpha=9.82665914,gamma=0.91058077,n=15
PWM,mu=77.52997703,alpha=26.22729955,gamma=-0.17690689,n=15
L-moments,mu=69.80696792,alpha=13.29418179,gamma=0.46589083,n=15

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.66284866,alpha=11.03816695,gamma=0.74610779,n=20
MLE,mu=68.09355981,alpha=8.26867760,gamma=0.72665707,n=20
PWM,mu=72.62011736,alpha=18.90188257,gamma=0.02266115,n=20
L-moments,mu=68.31598867,alpha=9.28965384,gamma=0.53358154,n=20

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.40691855,alpha=7.52694294,gamma=0.76796672,n=30
MLE,mu=67.96733185,alpha=7.38762421,gamma=0.60081202,n=30
PWM,mu=70.28249879,alpha=13.64025968,gamma=0.13227761,n=30
L-moments,mu=67.95341573,alpha=7.60694758,gamma=0.51601313,n=30

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=67.92653590,alpha=11.58192558,gamma=0.49342487,n=50
MLE,mu=67.91091575,alpha=7.55977598,gamma=0.67802187,n=50
PWM,mu=69.66580752,alpha=12.24415483,gamma=0.28885428,n=50
L-moments,mu=68.39377199,alpha=8.58142554,gamma=0.49742877,n=50

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.91659596,alpha=11.22435750,gamma=0.51024504,n=100
MLE,mu=68.65683012,alpha=8.79660996,gamma=0.64516064,n=100
PWM,mu=69.94296714,alpha=11.86146153,gamma=0.37160753,n=100
L-moments,mu=69.30794166,alpha=9.99825655,gamma=0.46791233,n=100

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=69.37663143,alpha=12.67079199,gamma=0.40974060,n=150
MLE,mu=68.82536936,alpha=8.94110189,gamma=0.63348593,n=150
PWM,mu=69.97935220,alpha=11.50109838,gamma=0.38529890,n=150
L-moments,mu=69.55676468,alpha=10.26506175,gamma=0.44974660,n=150

gev-mu=70,alpha=10,gamma=0.6,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.87808331,alpha=12.77536039,gamma=0.39547940,n=200
MLE,mu=69.25746567,alpha=9.21371273,gamma=0.62090383,n=200
PWM,mu=70.36456291,alpha=11.51764415,gamma=0.38752907,n=200
L-moments,mu=70.04232775,alpha=10.58736500,gamma=0.43589681,n=200

gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.18534309,alpha=10.44262004,gamma=1.00802033,n=10
MLE,mu=69.81281686,alpha=9.67073716,gamma=0.84761065,n=10
PWM,mu=84.39571997,alpha=26.71916727,gamma=-0.72270138,n=10
L-moments,mu=70.56689352,alpha=11.60950553,gamma=0.47923793,n=10

gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.30995344,alpha=17.02126833,gamma=0.75581850,n=15
MLE,mu=68.21359349,alpha=9.68506610,gamma=1.04632507,n=15
PWM,mu=77.62088850,alpha=28.18028079,gamma=-0.04159658,n=15
L-moments,mu=70.04631932,alpha=13.82358830,gamma=0.52429928,n=15

gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.49192946,alpha=11.47783707,gamma=0.83857491,n=20
MLE,mu=68.10328105,alpha=8.15077858,gamma=0.82830015,n=20
PWM,mu=72.56620982,alpha=19.74380630,gamma=0.13680801,n=20
L-moments,mu=68.45589078,alpha=9.50575671,gamma=0.58699915,n=20

gev-mu=70,alpha=10,gamma=0.7,N=e6.csv;rej_b=0.001;n=3.0e+01
